Full Name,First Name,Last Name,Gender,Space Flights,Space Flight Hours,Spacewalks,Spacewalk Hours,Alma Mater,Undergrad Major,Graduate Major,Achievement Count
George D Nelson,George,Nelson,Man,3,411,2,10,Harvey Mudd College; University of Washington,Physics,Astronomy,2
George D Zamka,George,Zamka,Man,2,692,0,0,US Naval Academy; Florida Institute of Technology,Mathematics,Engineering Management,2
Gerald P Carr,Gerald,Carr,Man,1,2017,3,16,University of Southern California; US Naval Postgraduate School; Princeton University,Mechanical Engineering,Aeronautical Engineering,2
Gregory B Jarvis,Gregory,Jarvis,Man,1,0,0,0,State University of New York at Buffalo; Northeastern University,Electrical Engineering,Electrical Engineering,1
Gregory C Johnson,Gregory,Johnson,Man,1,309,0,0,University of Washington,Aerospace Engineering,0,1
Gregory E Chamitoff,Gregory,Chamitoff,Man,2,4770,2,13,California Polytechnic State University; California Institute of Technology; MIT,Electrical Engineering,Aeronautical Engineering; Aeronautics & Astronautics,1
Gregory H Johnson,Gregory,Johnson,Man,1,309,0,0,University of Washington,Aerospace Engineering,0,1
Gregory J Harbaugh,Gregory,Harbaugh,Man,4,817,3,18,Purdue University; University of Houston-Clear Lake,Aeronautical & Astronautical Engineering,Physical Science,1
Gregory T Linteris,Gregory,Linteris,Man,2,471,0,0,Princeton University; Stanford University,Chemical Engineering,Mechanical Engineering; Mechanical & Aerospace Engineering,1
Guion S Bluford,Guion,Bluford,Man,4,689,0,0,Pennsylvania State University; Air Force Institute of Technology; University of Houston-Clear Lake,Aerospace Engineering,Aerospace Engineering; Business Administration,1
Guy S Gardner,Guy,Gardner,Man,2,320,0,0,US Air Force Academy; Purdue University,Engineering Sciences; Astronautics & Mathematics,Astronautics,1
Harrison H Schmitt,Harrison,Schmitt,Man,1,301,3,22,California Institute of Technology; Harvard University,Geology,Geology,2
Heidemarie M Stefanyshyn-Piper,Heidemarie,Stefanyshyn-Piper,Woman,2,663,2,33,MIT,Mechanical Engineering,0,1
Henry W Hartsfield,Henry,Hartsfield,Man,3,482,0,0,Auburn University; University of Tennessee,Physics,Engineering Science,1
J Mike Lounge,Mike,Lounge,Not Found,3,483,0,0,US Naval Academy; University of Colorado,Mathematics & Physics,Astrogeophysics,2
Jack D Fischer,Jack,Fischer,Man,1,0,0,0,US Air Force Academy; MIT,Astronautical Engineering,Aeronautics & Astronautics,1
Jack R Lousma,Jack,Lousma,Man,2,1619,2,11,University of Michigan; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,3
Jake Garn,Jake,Garn,Not Found,1,167,0,0,University of Utah,Business Finance,0,1
James A Lovell,James,Lovell,Not Found,4,715,0,0,US Naval Academy,0,0,1
James A McDivitt,James,McDivitt,Man,2,338,0,0,University of Michigan,Astronautical Engineering,0,2
James A Pawelczyk,James,Pawelczyk,Man,1,381,0,0,University of Rochester; Pennsylvania State University; University of North Texas,Biology & Psychology,Physiology; Biology,1
James B Irwin,James,Irwin,Man,1,295,3,20,US Naval Academy; University of Michigan,Naval Sciences,Aeronautical Engineering,3
James C Adamson,James,Adamson,Man,2,334,0,0,US Military Academy; Princeton University,Engineering,Aerospace Engineering,1
James D Halsell,James,Halsell,Man,5,1258,0,0,US Air Force Academy; Troy State University; US Air Force Institute of Technology,Engineering,Business Management; Space Operations,1
James D van Hoften,James,Hoften,Man,2,338,4,22,University of California-Berkeley; Colorado State University,Civil Engineering,Hydraulic Engineering; Fluid Mechanics,1
James D Wetherbee,James,Wetherbee,Man,6,1594,0,0,University of Notre Dame,Aerospace Engineering,0,1
James F Buchli,James,Buchli,Man,4,490,0,0,US Naval Academy; University of West Florida,Aeronautical Engineering,Aeronautical Engineering Systems,1
James F Reilly,James,Reilly,Man,3,854,5,31,University of Texas-Dallas,Geosciences,Geosciences,1
James H Newman,James,Newman,Man,4,1042,6,43,Dartmouth College; Rice University,Physics,Physics,3
James M Kelly,James,Kelly,Man,2,641,0,0,US Air Force Academy; University of Alabama,Astronautical Engineering,Aerospace Engineering,2
James P Bagian,James,Bagian,Man,2,337,0,0,Drexel University; Thomas Jefferson University,Mechanical Engineering,Medicine,1
James P Dutton,James,Dutton,Man,1,362,0,0,US Air Force Academy; University of Washington,Astronautical Engineering,Aeronautics & Astronautics,1
James S Voss,James,Voss,Man,5,4853,4,22,Auburn University; University of Colorado,Aerospace Engineering,Aerospace Engineering Sciences,2
Janet L Kavandi,Janet,Kavandi,Woman,3,812,0,0,Missouri Southern State College; University of Missouri; University of Washington,Chemistry,Chemistry,2
Janice E Voss,Janice,Voss,Woman,5,1179,0,0,Purdue University; MIT,Engineering Science,Electrical Engineering; Aeronautics & Astronautics,1
Jay Clark Buckey,Jay,Buckey,Man,1,381,0,0,Cornell University,Electrical Engineering,Medicine,1
